,Longitude,Latitude,Elevation,Zelevation,Precip,logPrecip,Slope5,Zslope5,Slope10,Zslope10,Slope15,Zslope15,holdout_ind.1,holdout_ind.2,holdout_ind.3,holdout_ind.4,holdout_ind.5,holdout_ind.6,holdout_ind.7,holdout_ind.8,holdout_ind.9,holdout_ind.10,holdout_ind.11,holdout_ind.12,holdout_ind.13,holdout_ind.14,holdout_ind.15,holdout_ind.16,holdout_ind.17,holdout_ind.18,holdout_ind.19,holdout_ind.20
16839,-104.7,38.82,1883,-0.447885244,430.9999612,6.066108,-384.048,-0.735574026,-1285.0368,-1.973038339,-754.9896,-0.944566542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24158,-102.23,40.07,1093,-1.593420166,572.0000049,6.349139,-145.0848,-0.301897882,-231.0384,-0.331878137,-327.0504,-0.388310187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9983,-108.03,37.68,2758,0.820903436,788.9997469,6.670766,338.9376,1.067752253,1210.056,2.380386009,1288.0848,2.08978467,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
25040,-105.83,40.27,2689,0.720850386,447.9998959,6.104793,794.004,2.278427466,-435.2544,-0.757846187,-690.9816,-1.01069542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13232,-103.75,38.22,1313,-1.274410441,171.999918,5.147494,-118.872,-0.282646346,-110.0328,-0.116018009,-136.8552,-0.088525325,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24804,-105.569,40.207,2606.5,0.601221739,587.0001058,6.375025,-970.1784,-2.840596037,-1175.9184,-2.397837582,-1125.0168,-1.838876727,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10959,-107.727,37.847,3041.6,1.232135972,895.0002521,6.796824,392.8872,1.055702787,70.104,0.303191228,1024.128,1.778370853,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1
14378,-106.43,38.4,2728,0.77740211,476.0000694,6.165418,1135.0752,2.636864231,458.1144,1.145067785,-442.8744,-0.622831473,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
19979,-104.97,39.38,1874,-0.460935642,478.0001279,6.169611,-91.1352,-0.100973233,-455.9808,-0.599898618,-1637.9952,-2.238712979,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
25287,-105.645,40.311,2863,0.973158077,797.000256,6.680855,-128.016,-0.28172518,-1132.9416,-2.149992071,-1452.9816,-2.222230238,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
26733,-105.887,40.532,3098.7,1.314933496,1200.000197,7.090077,797.052,2.319198159,361.7976,0.935501014,-489.204,-0.554695094,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
15871,-104.7,38.68,1683,-0.737894085,369.9999979,5.913503,-648.9192,-1.307019274,-1128.0648,-1.89033257,-811.0728,-1.109567699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21933,-104.22,39.7,1595,-0.865497975,392.0000628,5.971262,-142.0368,-0.257426441,-224.9424,-0.255299316,-171.9072,-0.053198738,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
26514,-104.9,40.48,1462,-1.058353854,352.9999799,5.866468,-135.0264,-0.235656443,-911.9616,-1.533191242,-1600.2,-2.318944107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14949,-102.78,38.48,1285,-1.315011679,349.9999459,5.857933,-134.112,-0.226653326,-172.8216,-0.272467393,-121.92,-0.069357929,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14715,-102.45,38.45,1191,-1.451315834,308.9999144,5.733341,-9.144,0.027060865,-121.0056,-0.157799556,-248.1072,-0.280766248,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
24378,-103.17,40.12,1396,-1.154056772,458.9999036,6.12905,-43.8912,-0.042937027,-51.816,0.01274764,-131.064,-0.064397033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
16805,-106.13,38.83,2426,0.33948876,271.999982,5.605802,-504.1392,-0.977386433,24.9936,0.098697231,-128.016,-0.091250079,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
10244,-107.27,37.72,2861,0.970257989,582.9998914,6.368187,-1009.8024,-3.000471174,-440.7408,-0.697631366,-747.9792,-0.981967143,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
21628,-106.83,39.67,2100,-0.133225651,308.0000668,5.7301,101.1936,0.329177653,-14.9352,0.139556111,572.1096,1.126107177,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20216,-105.17,39.42,2292,0.145182836,384.0001718,5.950643,-441.96,-1.042225433,-897.9408,-1.509676132,-1053.084,-1.365505428,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8417,-102.7,37.38,1378,-1.180157567,398.9998337,5.988961,-206.0448,-0.393565504,-356.9208,-0.54544733,-523.0368,-0.746849229,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
19949,-106.197,39.38,3441.8,1.812443663,703.0000761,6.555357,-7.9248,0.087603378,-187.1472,-0.15184344,868.9848,1.493415953,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26711,-106.781,40.534,2525.1,0.48318814,1140.000523,7.038784,448.056,1.365228172,439.2168,1.090526305,642.8232,1.361918241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8325,-106.548,37.379,3367.7,1.704995388,790.0000431,6.672033,-147.2184,-0.257372227,-92.964,-0.062027212,-170.0784,-0.14371028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18194,-108.73,39.1,1594,-0.866948019,280.0001111,5.63479,-238.9632,-0.473575066,181.9656,0.457658183,911.0472,1.489884623,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24052,-106.67,40.08,2695,0.729550651,662.000294,6.495266,-4.8768,0.057969255,-1036.0152,-1.884016837,-413.9184,-0.533431775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9044,-106.835,37.486,3095.8,1.310728368,1254.00035,7.134094,-192.024,-0.419073102,999.1344,2.086859253,-780.8976,-1.136620795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12265,-103.7,38.03,1285,-1.315011679,173.0000702,5.153292,-131.064,-0.244724178,-156.972,-0.157172888,-254.8128,-0.228015587,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23596,-105.5,39.98,2555,0.526544462,498.9999522,6.212606,-1499.9208,-3.804573582,-1063.1424,-1.899411405,-931.164,-1.441597387,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
19697,-106.615,39.317,2929,1.068860995,718.9997428,6.577861,687.9336,1.820157203,1095.1464,2.097242595,1551.1272,2.580302095,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21728,-102.68,39.65,1302,-1.290360927,415.9998917,6.030685,-104.8512,-0.141114741,-238.9632,-0.252027008,-445.3128,-0.466172974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26994,-105.08,40.58,1524,-0.968451113,357.0000779,5.877736,-704.088,-1.852981976,-1217.0664,-2.32840637,-1910.1816,-3.119099652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26478,-106.42,40.48,2546,0.513494064,438.0000393,6.082219,-235.0008,-0.496461577,719.9376,1.528158567,1064.9712,1.922854133,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
16832,-104.98,38.85,2880,0.997808829,556.9998664,6.322565,-858.012,-1.689935174,-826.008,-1.24711145,-1079.9064,-1.386781101,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
23780,-107.92,40.03,1908,-0.411634139,426.9999944,6.056784,192.024,0.546481393,511.1496,1.084774586,350.8248,0.762554905,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
12270,-103.52,38.05,1284,-1.316461723,195.0000861,5.273,-50.9016,-0.042921773,-179.832,-0.196730371,-216.1032,-0.171590463,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21183,-105.22,39.57,2174,-0.02592238,547.0001081,6.304449,-1059.18,-2.544483241,-2107.0824,-3.644611019,-1817.2176,-2.551310312,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
20446,-105.68,39.47,2757,0.819453392,408.9999362,6.013715,-786.9936,-2.166240587,-1138.1232,-1.963349877,-1329.8424,-1.746368345,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6724,-102.68,37.08,1345,-1.228009026,447.0001812,6.102559,-149.0472,-0.325107891,-342.9,-0.640040241,-608.9904,-1.049086771,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21651,-105.87,39.646,3391,1.738781418,762.0003386,6.635947,477.012,1.186974282,-284.988,-0.332474696,-747.9792,-0.939850082,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
15091,-106.97,38.53,2344,0.220585135,294.9998949,5.686975,-64.9224,-0.082358206,325.8312,0.789706533,898.2456,1.656188261,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28112,-108.92,40.8,1630,-0.814746428,271.0000485,5.602119,-303.8856,-0.606532795,-466.9536,-0.589530684,-739.14,-0.797326181,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
24965,-108.97,40.23,1811,-0.552288427,344.0001179,5.840642,173.1264,0.55583973,207.8736,0.530654081,373.9896,0.781611156,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
14433,-104.12,38.42,1537,-0.949600539,158.9999678,5.068904,1.2192,0.058745392,-253.8984,-0.455812039,-313.0296,-0.399540292,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7809,-107.88,37.28,1987,-0.297080646,573.0001623,6.350886,-202.9968,-0.406327451,257.8608,0.567642001,473.964,0.953413032,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18678,-108.75,39.17,1369,-1.193207965,219.0000592,5.389072,74.9808,0.304346125,208.1784,0.536614808,124.968,0.341378047,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19953,-106.06,39.361,3534.4,1.946717757,688.9998133,6.535241,-633.984,-1.331211129,309.0672,0.675179041,-377.952,-0.362892796,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8034,-108.57,37.35,1884,-0.4464352,271.999982,5.605802,352.9584,0.935270987,875.0808,1.761686905,809.8536,1.545440219,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
25774,-105.52,40.38,2309,0.169833588,384.0001718,5.950643,-1132.9416,-3.085359569,-1829.1048,-3.302842084,-1393.8504,-1.988339157,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26468,-106.83,40.5,2066,-0.182527154,749.0000123,6.618739,729.0816,2.018558662,567.8424,1.242836648,634.8984,1.238364504,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
18528,-104.92,39.12,2226,0.049479919,587.0001058,6.375025,-181.0512,-0.343550404,-178.0032,-0.1942562,-1100.0232,-1.429274992,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
12533,-102.62,38.08,1105,-1.576019635,249.0000258,5.517453,-61.2648,-0.075907698,-106.9848,-0.076989768,-127.1016,-0.048691242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12160,-108.07,38.03,2355,0.236535621,636.0002777,6.455199,520.9032,1.396550894,836.0664,1.561204187,1787.0424,2.748298595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
13698,-104.5,38.28,1412,-1.130856064,192.9999635,5.26269,-103.9368,-0.227226853,-113.9952,-0.124107721,-425.8056,-0.555272967,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
22153,-105.13,39.75,1701,-0.711793289,290.0000223,5.669881,-587.9592,-1.464894006,-831.1896,-1.394723012,-1655.9784,-2.478705663,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
15113,-106.05,38.53,2252,0.087181068,154.0000612,5.036953,-316.992,-0.61763172,-210.0072,-0.342068185,-633.984,-0.94159475,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
7652,-104.33,37.25,1745,-0.647991344,494.0002385,6.202536,-392.8872,-0.890453187,-627.2784,-1.097649024,-837.2856,-1.388487743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26560,-103.02,40.48,1369,-1.193207965,524.0001654,6.261492,-4.2672,0.105457589,-67.9704,0.050088105,-231.0384,-0.139831837,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0
11201,-107.713,37.892,3385,1.730081152,1130.999462,7.030857,681.8376,1.767807576,411.7848,0.829740644,992.124,1.606502748,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17096,-104.08,38.87,1838,-0.513137233,270.0000111,5.598422,-208.1784,-0.44914983,-352.044,-0.573535762,-453.8472,-0.584187302,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24530,-106.9,40.15,2406,0.310487875,427.9999163,6.059123,-28.956,0.000575578,-592.2264,-1.030908151,-381,-0.478414147,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
12449,-106.13,38.08,2347,0.224935267,231.0000669,5.442418,-422.7576,-0.973317602,829.056,1.51854326,-785.1648,-0.992735432,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10955,-107.88,37.83,3001,1.173264178,854.9995991,6.751101,-190.1952,-0.333482327,1020.1656,2.017838649,1143,1.960173384,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11681,-107.87,37.95,2634,0.641097954,644.0001764,6.467699,279.1968,0.737471776,1152.144,1.918635804,1236.2688,1.784662844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8370,-104.65,37.38,2042,-0.217328215,638.9997097,6.459904,-805.8912,-1.782313534,-1125.9312,-1.953841046,-1053.084,-1.652599343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
14352,-107.52,38.4,2204,0.017578946,384.0001718,5.950643,153.924,0.405959784,680.0088,1.643972113,403.2504,0.83223031,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
13451,-104.72,38.27,1447,-1.080104517,322.0001463,5.774552,-181.9656,-0.470387674,-562.9656,-1.052324114,-1034.1864,-1.560581417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22379,-105.78,39.8,3505,1.904086457,940.0001173,6.84588,-412.0896,-1.006560008,37.1856,0.194903724,-1446.276,-2.069083242,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12526,-102.93,38.07,1146,-1.516567823,207.9999834,5.337538,-56.0832,-0.063044318,-116.1288,-0.092576219,-202.9968,-0.157568965,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21397,-106.38,39.617,3144.4,1.381200517,966.0001602,6.873164,1013.1552,2.474374487,1091.184,2.088053974,1390.8024,2.423547055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23612,-104.83,39.98,1517,-0.978601423,330.000114,5.799093,-24.0792,0.011336055,-127.1016,-0.121974537,-957.9864,-1.488377164,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9819,-104.8,37.62,1910,-0.40873405,421.9998675,6.045005,-254.2032,-0.497547154,-1048.8168,-1.66054628,-1634.0328,-2.184970759,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
24388,-102.73,40.12,1262,-1.348362695,415.0001991,6.028279,-132.2832,-0.292363443,-241.0968,-0.365782463,-290.1696,-0.330625948,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18955,-107.3,39.2,2461,0.390240307,809.0000671,6.695799,306.0192,0.914057152,-113.0808,-0.053368328,1170.1272,1.932183397,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16793,-106.62,38.82,3201,1.463273019,484.0000451,6.182085,683.0568,1.413119466,-758.0376,-1.139620284,-188.0616,-0.172972657,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
20208,-105.48,39.4,2434,0.351089113,383.0000041,5.948035,-1115.8728,-2.839460957,-1248.7656,-2.174578524,-2035.1496,-2.838999511,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20712,-104.65,39.52,1899,-0.424684537,372.9998435,5.921578,-41.148,0.012975271,47.8536,0.284969838,-851.0016,-1.047059891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7129,-105.95,37.17,2349,0.227835356,238.0000777,5.472271,-324.9168,-0.801673081,-722.0712,-1.399837601,-976.884,-1.760502444,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
27934,-106.27,40.73,2467,0.398940572,286.9999381,5.659482,466.9536,1.76923686,-337.7184,-0.33123141,204.216,0.830229817,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
26010,-105.733,40.432,3255,1.541575406,1016.999597,6.924612,-626.9736,-1.552192223,-444.0936,-0.699693581,-1214.9328,-1.733290706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21134,-107.23,39.57,1963,-0.331881707,630.0001138,6.44572,448.056,1.249979445,702.8688,1.473894643,484.0224,0.973729896,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14698,-103.15,38.45,1388,-1.165657125,324.0001569,5.780744,8.2296,0.063800783,-179.832,-0.281325677,-202.9968,-0.206746168,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
8118,-105.067,37.331,3044.9,1.236921118,803.9997836,6.689599,-591.9216,-1.353430323,-301.1424,-0.470916038,-495.3,-0.72892798,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
15855,-105.38,38.68,2642,0.652698308,511.0002094,6.23637,-210.9216,-0.393891579,117.9576,0.275549575,-923.2392,-1.275638287,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17304,-105.48,38.92,2726,0.774502021,372.0000542,5.918894,-234.0864,-0.516583983,106.9848,0.270632395,-701.04,-0.940304175,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
10024,-106.35,37.67,2422,0.333688583,283.000029,5.645447,-263.0424,-0.569029521,-1006.1448,-1.678749939,-1217.9808,-1.633811099,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26035,-104.7,40.42,1423,-1.114905578,388.9998663,5.963579,-94.1832,-0.154993961,-154.2288,-0.14854946,-884.8344,-1.212853722,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
26458,-107.25,40.48,1955,-0.343482061,547.9998428,6.306275,140.8176,0.483943088,159.1056,0.476069728,854.964,1.588613627,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
18247,-106.542,39.088,3224.4,1.497204053,726.9996528,6.588926,-563.88,-1.217456325,-117.9576,-0.1066313,-71.9328,0.023031354,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
19936,-106.75,39.37,2685,0.715050209,429.0000348,6.061457,1000.9632,2.374008451,998.8296,1.824780931,973.2264,1.648599916,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9240,-108.73,37.55,2117,-0.1085749,361.9999233,5.891644,199.9488,0.66965392,837.2856,1.745375372,1262.1768,2.150011157,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18204,-108.35,39.1,1428,-1.107655357,328.0001285,5.793014,932.0784,2.207467895,1182.9288,2.340916987,1565.148,2.46596745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23531,-108.2,40,1987,-0.297080646,438.0000393,6.082219,-67.9704,-0.102148246,-208.1784,-0.275930319,444.0936,0.956929372,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
15343,-106.53,38.6,2783,0.857154541,541.9999992,6.295266,746.76,1.759935688,7.9248,0.106344159,-137.16,-0.103503914,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12639,-108.28,38.13,2148,-0.063623529,479.9999501,6.173786,594.9696,1.578141722,559.308,1.103679023,790.0416,1.304904313,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28474,-103.9,40.85,1507,-0.993101865,344.0001179,5.840642,-135.0264,-0.144840693,-225.2472,-0.111704429,-329.184,-0.122724373,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22850,-106.33,39.88,2495,0.43954181,368.0000228,5.908083,-46.0248,-0.025708718,751.9416,1.527313768,992.124,1.815715879,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21405,-106.03,39.63,2897,1.02245958,387.9998682,5.961005,608.9904,1.527846892,1014.984,1.954519168,-131.9784,0.026007362,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
24574,-105.07,40.17,1535,-0.952500627,273.0000559,5.609472,-406.908,-1.015422006,-1308.2016,-2.409440732,-2048.8656,-3.220969291,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
23837,-105.544,40.035,3016.8,1.196174876,800.0002179,6.684612,-1130.1984,-2.745747788,-950.0616,-1.693411978,-816.864,-1.224387917,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10513,-106.12,37.75,2331,0.20173456,179.0000348,5.187386,-195.072,-0.445848498,-296.2656,-0.440417004,-207.8736,-0.137758621,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
24001,-108.8,40.08,1611,-0.842297268,372.0000542,5.918894,325.8312,0.906786308,267.0048,0.628437894,348.996,0.741092203,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27532,-102.83,40.67,1295,-1.300511236,466.9998797,6.146329,-35.9664,0.153255974,-57.912,0.243273859,-205.1304,0.072554912,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8300,-107.58,37.37,2322,0.188684162,678.9999134,6.520621,-303.8856,-0.620083857,-313.0296,-0.465063385,21.9456,0.184422309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16274,-108.07,38.75,1503,-0.998902042,188.9999972,5.241747,3.9624,0.045718703,-540.1056,-0.855855639,72.8472,0.192230308,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
21103,-108.53,39.58,2090,-0.147726093,458.9999036,6.12905,-118.2624,-0.175725645,-407.8224,-0.549300349,605.028,1.159086315,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
